Architecture,Max_Power,Memory,Memory_Speed
GCN 1.1 Grenada PRO ,275 Watts,8192 MB ,1525 MHz
GCN 1.1 Grenada PRO (x2) ,550 Watts,16384 MB ,1500 MHz
GCN 1.1 Grenada PRO (x2) ,580 Watts,16384 MB ,1350 MHz
GCN 1.1 Grenada PRO ,300 Watts,8192 MB ,1500 MHz
GCN 1.2 Antigua XT ,225 Watts,4096 MB ,1450 MHz
GCN 1.1 Grenada PRO (x2) ,550 Watts,16384 MB ,1500 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.1 Grenada PRO ,275 Watts,8192 MB ,1500 MHz
GCN 1.1 Grenada PRO ,300 Watts,8192 MB ,1500 MHz
GCN 1.2 Antigua XT ,225 Watts,4096 MB ,1500 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.1 Grenada PRO ,300 Watts,8192 MB ,1500 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua XT ,225 Watts,4096 MB ,1475 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua PRO ,225 Watts,2048 MB ,1375 MHz
GCN 1.2 Antigua XT ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua PRO ,190 Watts,2048 MB ,1475 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1475 MHz
GCN 1.2 Antigua PRO ,225 Watts,4096 MB ,1450 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua PRO ,225 Watts,2048 MB ,1375 MHz
GCN 1.2 Antigua PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1450 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Antigua PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.2 Antigua PRO ,190 Watts,2048 MB ,1400 MHz
GCN 1.2 Antigua PRO (x2) ,400 Watts,4096 MB ,1375 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1425 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1475 MHz
GCN 1.2 Antigua PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Trinidad PRO (x2) ,300 Watts,8192 MB ,1400 MHz
GCN 1.0 Trinidad XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.2 Antigua PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.0 Trinidad PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Trinidad PRO (x2) ,220 Watts,8192 MB ,1425 MHz
GCN 1.0 Trinidad PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Trinidad PRO ,150 Watts,4096 MB ,1400 MHz
GCN 1.0 Trinidad PRO ,110 Watts,2048 MB ,1400 MHz
GCN 1.0 Trinidad PRO ,110 Watts,2048 MB ,1425 MHz
GCN 1.2 Antigua PRO ,190 Watts,4096 MB ,1375 MHz
GCN 1.0 Trinidad PRO ,110 Watts,4096 MB ,1425 MHz
GCN 1.1 Tobago PRO ,85 Watts,2048 MB ,1625 MHz
GCN 1.0 Trinidad PRO ,110 Watts,2048 MB ,1425 MHz
GCN 1.0 Trinidad PRO (x2) ,225 Watts,4096 MB ,1400 MHz
GCN 1.0 Trinidad PRO ,150 Watts,4096 MB ,1400 MHz
GCN 1.1 Tobago XT ,120 Watts,2048 MB ,1625 MHz
GCN 1.0 Trinidad PRO ,110 Watts,2048 MB ,1400 MHz
GCN 1.0 Trinidad PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Trinidad PRO ,110 Watts,2048 MB ,1400 MHz
GCN 1.1 Tobago PRO ,150 Watts,2048 MB ,1625 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1750 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1500 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1625 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1500 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1650 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1500 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1625 MHz
GCN 1.1 Tobago PRO ,150 Watts,2048 MB ,1500 MHz
GCN 1.1 Tobago PRO ,150 Watts,2048 MB ,1625 MHz
GCN 1.1 Tobago PRO (x2) ,200 Watts,4096 MB ,1500 MHz
GCN 1.1 Tobago PRO ,50 Watts,2048 MB ,1500 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1625 MHz
GCN 1.1 Oland XT ,50 Watts,2048 MB ,900 MHz
GCN 1.1 Tobago PRO ,100 Watts,2048 MB ,1625 MHz
GCN 1.1 Oland PRO ,65 Watts,2048 MB ,1125 MHz
GCN 1.1 Oland PRO ,50 Watts,2048 MB ,900 MHz
GCN 1.1 Tobago PRO ,75 Watts,2048 MB ,1500 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,1150 MHz
GCN 1.1 Hawaii XT ,300 Watts,4096 MB ,1250 MHz
GCN 1.2 Capsaicin XT ,350 Watts,8192 MB ,500 MHz
GCN 1.1 Hawaii XT ,290 Watts,8192 MB ,1375 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1410 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1300 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1350 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii XT (x2) ,580 Watts,8192 MB ,1250 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii XT ,290 Watts,8192 MB ,1250 MHz
GCN 1.1 Hawaii XT ,250 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii XT (x2) ,500 Watts,8192 MB ,1250 MHz
GCN 1.1 Hawaii XT (x2) ,600 Watts,8192 MB ,1350 MHz
GCN 1.1 Hawaii XT ,300 Watts,4096 MB ,1350 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii XT ,290 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii XT ,375 Watts,4096 MB ,1350 MHz
GCN 1.1 Hawaii PRO ,250 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii XT ,300 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1400 MHz
GCN 1.1 Hawaii PRO ,250 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,250 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1300 MHz
GCN 1.1 Hawaii PRO ,250 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,550 Watts,8192 MB ,1300 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1350 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,250 Watts,4096 MB ,1250 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1250 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1400 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.1 Hawaii PRO (x2) ,550 Watts,8192 MB ,1250 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.1 Hawaii PRO ,275 Watts,4096 MB ,1250 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1400 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1400 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1400 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1375 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1550 MHz
GCN 1.2 Tonga PRO ,190 Watts,2048 MB ,1400 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.1 Tahiti XTL (x2) ,500 Watts,6144 MB ,1550 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1600 MHz
GCN 1.0 Tahiti XTL ,250 Watts,6144 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1550 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,375 Watts,3072 MB ,1600 MHz
GCN 1.0 Tahiti XTL ,280 Watts,3072 MB ,1500 MHz
GCN 1.1 Tahiti XTL (x2) ,550 Watts,6144 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1600 MHz
GCN 1.0 Tahiti XTL ,280 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1300 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,225 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1300 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.0 Tahiti XTL ,250 Watts,3072 MB ,1500 MHz
GCN 1.1 Tahiti PRO2 (x2) ,400 Watts,6144 MB ,1250 MHz
GCN 1.1 Curacao XT ,180 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1450 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1450 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1500 MHz
GCN 1.1 Curacao XT ,180 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.0 Tahiti PRO2 ,200 Watts,3072 MB ,1250 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1500 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1425 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT (x2) ,180 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT (x2) ,180 Watts,8192 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,175 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,225 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao XT (x2) ,360 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao PRO ,175 Watts,2048 MB ,1400 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO ,175 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO ,175 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO ,175 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO (x2) ,300 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao XT ,180 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.1 Curacao PRO (x2) ,300 Watts,4096 MB ,1400 MHz
GCN 1.1 Curacao PRO ,146 Watts,2048 MB ,1400 MHz
GCN 1.0 Bonaire XT ,115 Watts,2048 MB ,1625 MHz
GCN 1.1 Curacao PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
Pitcairn PRO ,300 Watts,4096 MB ,1400 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1600 MHz
GCN 1.1 Curacao PRO ,146 Watts,2048 MB ,1400 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1650 MHz
GCN 1.0 Pitcairn PRO ,150 Watts,2048 MB ,1400 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
Pitcairn PRO ,300 Watts,4096 MB ,1400 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
GCN 1.1 Bonaire XT ,85 Watts,2048 MB ,1250 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1600 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1600 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1600 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,2048 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1600 MHz
GCN 1.1 Bonaire XT ,105 Watts,1024 MB ,1500 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1650 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1625 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1625 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1625 MHz
GCN 1.1 Bonaire XTX ,120 Watts,2048 MB ,1650 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1750 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1625 MHz
GCN 1.1 Bonaire XTX ,105 Watts,2048 MB ,1650 MHz
GCN 1.1 Bonaire XTX (x2) ,230 Watts,4096 MB ,1625 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1625 MHz
GCN 1.1 Bonaire XTX ,115 Watts,2048 MB ,1625 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.1 Bonaire PRO ,95 Watts,2048 MB ,1500 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,120 Watts,4096 MB ,1750 MHz
GCN 1.1 Bonaire PRO ,95 Watts,1024 MB ,1500 MHz
GCN 1.3 Ellesmere XT ,120 Watts,4096 MB ,1750 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1300 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,83 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT (x2) ,160 Watts,4096 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,2048 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,61 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,75 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde PRO ,55 Watts,1024 MB ,1125 MHz
GCN 1.0 Cape Verde XT ,80 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,800 MHz
GCN 1.0 Cape Verde XT ,80 Watts,2048 MB ,1125 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,900 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,900 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,800 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,900 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.1 Oland XT ,48 Watts,2048 MB ,900 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,900 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT (x2) ,300 Watts,16384 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere XT ,150 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere XT ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1750 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland XT ,75 Watts,1024 MB ,1150 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1750 MHz
GCN 1.1 Oland XT (x2) ,130 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland XT (x2) ,130 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland XT ,65 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland PRO ,35 Watts,4096 MB ,667 MHz
GCN 1.1 Oland XT ,65 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland PRO ,35 Watts,2048 MB ,800 MHz
GCN 1.1 Oland XT ,59 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland PRO ,30 Watts,1024 MB ,1150 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,1125 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,1150 MHz
GCN 1.1 Oland PRO ,30 Watts,1024 MB ,1125 MHz
GCN 1.1 Oland PRO ,35 Watts,1024 MB ,900 MHz
GCN 1.1 Oland PRO ,35 Watts,1024 MB ,900 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1750 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,900 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,8192 MB ,2000 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1750 MHz
GCN 1.3 Ellesmere PRO ,110 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,110 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,110 Watts,8192 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Ellesmere PRO ,120 Watts,4096 MB ,1650 MHz
GCN 1.3 Baffin XT ,150 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,150 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.3 Baffin XT ,75 Watts,4096 MB ,1750 MHz
GCN 1.3 Baffin PRO ,75 Watts,2048 MB ,1750 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,900 MHz
GCN 1.1 Oland PRO ,35 Watts,2048 MB ,900 MHz
GCN 1.1 Oland PRO ,35 Watts,2048 MB ,900 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,900 MHz
GCN 1.1 Oland PRO ,30 Watts,2048 MB ,900 MHz
GCN 1.1 Oland PRO ,35 Watts,4096 MB ,900 MHz
GCN 1.1 Oland PRO ,35 Watts,4096 MB ,900 MHz
GCN 1.1 Oland PRO ,30 Watts,1024 MB ,800 MHz
GCN 1.1 Oland PRO ,35 Watts,2048 MB ,900 MHz
Terascale 2 Caicos XT ,35 Watts,1024 MB ,900 MHz
Terascale 2 Caicos XT ,37 Watts,1024 MB ,900 MHz
Terascale 2 Caicos PRO-L ,19 Watts,1024 MB ,800 MHz
